                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.6136,                   1.97,                 1.7295,                0.34772,                0.27174,                0.25068,                0.09971,                 1.9887,                 2.5008,                  2.247,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6638,                 1.9871,                 1.7784,                0.29929,                0.42391,                0.30033,                0.13797,                  1.978,                 2.2751,                 2.2434,               0.001703,               0.001703,               0.001703
                     17,                 1.6199,                 1.9416,                 1.7542,                0.14845,                0.38087,                0.12182,                0.04905,                 1.8322,                 2.5534,                 2.0584,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5978,                 1.9077,                 1.7313,                0.32602,                0.34783,                0.27733,                0.10719,                 2.1812,                 2.4985,                 2.3631,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6076,                 1.9168,                 1.7529,                0.26376,                0.36957,                0.25405,                 0.0948,                 1.9434,                 2.7082,                 2.2362,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.555,                 1.8615,                 1.7047,                0.36107,                0.46739,                0.33111,                0.14994,                 1.9349,                 2.1639,                  2.089,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.518,                 1.7551,                 1.6766,                0.37343,                0.35632,                0.28933,                0.13864,                 1.9159,                 2.2948,                 2.0782,               0.001604,               0.001604,               0.001604
                     22,                 1.5727,                 1.8194,                 1.6839,                0.43255,                0.31522,                0.33817,                0.16548,                 1.9123,                 2.1429,                 2.1159,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5626,                 1.8745,                  1.685,                0.32074,                    0.5,                0.32278,                0.14578,                 1.9608,                 2.2735,                 2.2186,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4863,                 1.7859,                 1.6542,                0.41782,                0.38043,                0.39416,                0.20092,                 1.7845,                 2.0776,                 2.0003,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5117,                 1.7247,                 1.6439,                0.40334,                0.44565,                0.39505,                0.20358,                 1.7665,                 2.0847,                 1.9271,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4859,                 1.6967,                 1.6129,                0.41216,                0.46739,                0.45709,                0.19284,                 1.9608,                 1.9934,                 2.0813,               0.001505,               0.001505,               0.001505
                     27,                 1.5164,                  1.747,                 1.6594,                0.28821,                0.44015,                0.30108,                0.13285,                 1.8526,                 2.2581,                 1.9998,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4672,                 1.7207,                 1.6162,                0.42193,                0.47826,                0.45296,                0.23048,                  1.724,                 1.9494,                 1.8946,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4079,                 1.6242,                 1.6113,                 0.4226,                0.45652,                0.44178,                0.22582,                 1.7118,                 2.0929,                 1.9431,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4848,                 1.6992,                 1.6335,                0.58809,                0.43453,                 0.4648,                0.22514,                 1.8556,                 2.3041,                 2.0653,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4266,                 1.6598,                 1.6026,                0.49112,                 0.3913,                0.46533,                0.23726,                 1.7878,                 1.9286,                 2.0116,               0.001406,               0.001406,               0.001406
                     32,                 1.4454,                 1.6751,                 1.5982,                0.49101,                0.45652,                0.46711,                0.24884,                 1.6258,                 1.9907,                 1.8444,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4177,                 1.6483,                 1.5971,                0.49807,                0.44565,                0.46987,                0.25781,                 1.7112,                 1.8745,                 1.8818,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3941,                 1.5669,                 1.5674,                0.56004,                0.52174,                0.51766,                0.27437,                 1.7388,                 1.9118,                 2.0022,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3923,                 1.5503,                 1.5712,                0.60273,                0.44565,                0.49165,                  0.274,                 1.6921,                 2.0881,                 1.9678,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3968,                 1.5689,                 1.5751,                0.49405,                    0.5,                0.43894,                0.23818,                 1.6624,                 1.9581,                 1.9415,               0.001307,               0.001307,               0.001307
                     37,                 1.3317,                  1.553,                  1.547,                0.48048,                0.61957,                0.55525,                0.30912,                 1.6232,                 1.7229,                 1.8516,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3526,                 1.4969,                 1.5542,                 0.4726,                0.52599,                0.45657,                0.26169,                 1.6157,                 1.8283,                 1.7685,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3347,                 1.5063,                 1.5371,                0.60784,                0.44565,                0.49938,                0.29072,                 1.6841,                 1.8489,                 1.8858,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3298,                 1.4639,                  1.499,                0.55001,                0.53144,                0.52836,                0.28072,                 1.7004,                 1.7525,                  1.862,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3155,                 1.4677,                 1.5062,                0.61754,                0.52174,                0.53342,                0.28773,                 1.6763,                 1.7457,                 1.8861,               0.001208,               0.001208,               0.001208
                     42,                 1.3337,                 1.4581,                 1.5166,                0.64919,                0.46739,                0.56263,                0.31271,                 1.5724,                 1.7391,                 1.8096,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2946,                 1.4902,                 1.5018,                0.65545,                0.52174,                0.56189,                0.31523,                 1.6346,                  1.814,                 1.8707,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3096,                 1.4668,                 1.4966,                0.56397,                0.56238,                0.55067,                0.31455,                 1.6011,                 1.6796,                 1.8683,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3079,                 1.3606,                 1.5001,                0.57828,                0.48913,                0.53188,                0.29708,                 1.6668,                  1.753,                 1.9027,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2482,                 1.3426,                 1.4586,                0.50656,                0.47826,                0.45699,                0.23921,                 1.8177,                 2.0238,                 2.0395,               0.001109,               0.001109,               0.001109
                     47,                 1.3054,                 1.3702,                 1.4838,                 0.5734,                0.56981,                0.55536,                0.30211,                 1.7145,                 1.7714,                 1.9194,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2694,                 1.3488,                 1.4579,                0.44365,                0.58696,                0.48721,                0.24651,                  1.734,                 1.7906,                 1.9046,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2458,                 1.3181,                  1.451,                0.58965,                0.48422,                0.53642,                0.29755,                 1.5663,                 1.6021,                 1.7894,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2543,                 1.3191,                 1.4547,                0.58281,                0.48913,                0.55579,                0.33217,                 1.4706,                  1.698,                 1.7203,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2091,                 1.2722,                 1.4155,                0.53149,                0.56522,                0.54208,                0.30886,                 1.5998,                 1.6874,                 1.8091,                0.00101,                0.00101,                0.00101
                     52,                 1.2263,                 1.2713,                 1.4281,                0.56967,                 0.6087,                 0.5713,                0.29275,                 1.7157,                 1.7063,                 1.9353,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1913,                  1.232,                 1.4079,                0.55549,                    0.5,                0.53265,                0.29355,                 1.5962,                  1.688,                 1.7738,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.217,                 1.2223,                 1.4269,                0.69022,                    0.5,                0.60828,                0.33869,                 1.7542,                 1.6904,                 1.9691,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1929,                 1.2184,                 1.4171,                0.51643,                0.56522,                 0.5518,                0.31921,                 1.7293,                 1.8147,                  1.938,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1437,                 1.1907,                 1.3839,                0.61438,                0.57151,                0.61416,                0.34472,                 1.6463,                 1.6804,                 1.8029,               0.000911,               0.000911,               0.000911
                     57,                 1.1945,                 1.2326,                 1.4104,                0.61019,                0.61957,                0.65312,                0.38694,                 1.5643,                 1.6261,                 1.7718,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1659,                 1.1629,                 1.3987,                0.63027,                0.55589,                0.60426,                0.33401,                 1.7351,                 1.6236,                 1.8889,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1304,                  1.161,                 1.3493,                0.71196,                0.54348,                0.59955,                0.33125,                 1.6684,                 1.5555,                 1.8335,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1083,                 1.1323,                 1.3617,                0.53649,                0.51087,                0.56043,                 0.2946,                 1.8194,                 1.8002,                 2.0029,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1304,                 1.1561,                 1.3781,                0.59689,                 0.6413,                0.61927,                0.34657,                 1.6785,                 1.5651,                 1.8558,               0.000812,               0.000812,               0.000812
                     62,                   1.14,                  1.118,                 1.3827,                0.61132,                0.56522,                0.57514,                0.30896,                 1.7398,                 1.6178,                 1.9235,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1485,                 1.1254,                 1.3781,                0.58205,                0.55435,                0.55739,                0.31487,                 1.5805,                 1.5909,                 1.7661,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0793,                 1.0872,                 1.3458,                 0.5906,                0.55435,                0.59045,                0.32638,                 1.6936,                 1.6088,                 1.8811,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.137,                 1.0969,                 1.3815,                0.56902,                0.57609,                0.56407,                0.30122,                 1.6964,                  1.649,                 1.9201,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0752,                 1.1029,                 1.3472,                0.46945,                0.64442,                0.59632,                 0.3356,                 1.6798,                 1.5712,                 1.8329,               0.000713,               0.000713,               0.000713
                     67,                 1.0427,                 1.0164,                 1.3149,                0.70505,                0.52174,                 0.5777,                0.34391,                 1.6916,                 1.6931,                 1.9108,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0737,                 1.0355,                 1.3251,                0.55468,                0.58696,                0.56499,                0.32271,                  1.588,                 1.5218,                 1.7786,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0507,                 1.0029,                 1.3148,                0.56841,                0.66304,                0.63161,                0.32682,                 1.7783,                 1.6191,                 2.0167,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.051,                 1.0211,                 1.3021,                0.55379,                0.58011,                0.52464,                0.28703,                 1.7466,                 1.5969,                 1.9393,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0533,                0.99568,                 1.3003,                0.58931,                0.68629,                0.67668,                0.36703,                 1.6999,                 1.4879,                 1.9701,               0.000614,               0.000614,               0.000614
                     72,                 1.0499,                0.98082,                 1.3144,                0.62213,                0.55478,                0.61001,                0.34378,                 1.7772,                 1.6036,                 1.9475,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0186,                0.96026,                 1.2768,                0.56577,                0.63043,                0.59786,                0.34529,                 1.7019,                 1.5494,                 1.8851,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0008,                0.92614,                 1.2621,                0.65019,                    0.5,                 0.5855,                0.34365,                 1.7112,                 1.5562,                 1.8806,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0286,                 0.9578,                 1.2823,                0.71002,                 0.5323,                0.62657,                0.37093,                 1.6289,                 1.5875,                 1.8007,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0095,                0.95881,                 1.2816,                0.65685,                 0.5618,                0.59085,                0.31307,                 1.7223,                 1.5338,                  1.945,               0.000515,               0.000515,               0.000515
                     77,                 1.0075,                0.94098,                   1.28,                 0.6664,                0.56454,                0.64152,                0.34966,                 1.6384,                 1.6022,                 1.8365,              0.0004952,              0.0004952,              0.0004952
                     78,                0.95371,                0.92332,                 1.2539,                0.73548,                0.57609,                0.65494,                0.36567,                 1.6422,                 1.4239,                 1.8641,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97402,                0.90886,                 1.2598,                0.65381,                0.59534,                0.63143,                0.36711,                 1.6594,                 1.4259,                 1.8492,              0.0004556,              0.0004556,              0.0004556
                     80,                0.97208,                0.88291,                 1.2454,                0.68195,                0.58269,                0.62997,                0.35098,                 1.7121,                 1.4069,                 1.8999,              0.0004358,              0.0004358,              0.0004358
                     81,                0.92917,                0.86272,                 1.2449,                0.68135,                0.58696,                0.66028,                0.38243,                 1.6936,                 1.4611,                 1.9031,               0.000416,               0.000416,               0.000416
                     82,                0.92419,                 0.8581,                  1.228,                0.75937,                0.61746,                0.67386,                0.35641,                 1.6825,                 1.5038,                 1.8668,              0.0003962,              0.0003962,              0.0003962
                     83,                0.92701,                0.86057,                 1.2256,                0.64759,                0.61957,                0.67972,                0.37455,                 1.6744,                 1.4577,                 1.8839,              0.0003764,              0.0003764,              0.0003764
                     84,                0.93919,                0.87292,                 1.2472,                0.74057,                0.59783,                0.67506,                0.38698,                 1.6356,                  1.473,                 1.8089,              0.0003566,              0.0003566,              0.0003566
                     85,                0.91104,                0.84141,                 1.2221,                0.77424,                0.57609,                0.66491,                0.37739,                 1.6858,                  1.403,                 1.8887,              0.0003368,              0.0003368,              0.0003368
                     86,                0.91002,                0.84996,                 1.2086,                0.61521,                0.63043,                0.68053,                0.36965,                 1.8462,                 1.5262,                  2.014,               0.000317,               0.000317,               0.000317
                     87,                0.91295,                0.83172,                 1.2121,                 0.7009,                0.59783,                0.65295,                0.36673,                 1.7242,                 1.3482,                 1.9159,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88207,                0.79766,                 1.1926,                0.72425,                0.56522,                 0.6737,                0.38463,                 1.7155,                 1.4124,                 1.9612,              0.0002774,              0.0002774,              0.0002774
                     89,                0.88726,                0.81342,                 1.2096,                0.79196,                0.53795,                0.68215,                0.38365,                 1.7304,                 1.4651,                 1.9446,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88529,                0.82563,                  1.211,                0.72591,                0.57609,                0.66577,                0.39656,                 1.6889,                 1.4434,                   1.88,              0.0002378,              0.0002378,              0.0002378
                     91,                0.76167,                0.68518,                   1.13,                 0.7836,                0.59783,                0.67683,                0.38944,                 1.6999,                  1.411,                 1.8886,               0.000218,               0.000218,               0.000218
                     92,                0.77074,                0.63323,                 1.1328,                0.78122,                0.58696,                 0.6872,                0.38541,                 1.6772,                 1.3939,                 1.8693,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72869,                0.60242,                 1.1232,                 0.7371,                 0.6087,                 0.7248,                 0.3976,                 1.7108,                 1.3283,                 1.9077,              0.0001784,              0.0001784,              0.0001784
                     94,                0.71903,                 0.5787,                 1.1169,                0.69394,                0.65217,                0.70172,                0.40112,                 1.6678,                  1.381,                 1.8755,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71403,                0.57264,                 1.1105,                0.72735,                0.63043,                0.69256,                0.38153,                 1.6706,                 1.3806,                 1.8766,              0.0001388,              0.0001388,              0.0001388
                     96,                0.71646,                0.55702,                  1.103,                0.76329,                0.56084,                0.67075,                0.39565,                 1.7001,                 1.3778,                 1.8987,               0.000119,               0.000119,               0.000119
                     97,                0.70766,                0.53914,                 1.0815,                0.76415,                0.56348,                0.68007,                0.38068,                 1.6976,                 1.3956,                  1.876,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.6952,                0.55077,                 1.0914,                0.76027,                0.58603,                0.68582,                0.37644,                 1.6884,                 1.4126,                 1.8938,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.69142,                0.54807,                 1.0949,                0.69577,                0.61957,                0.68393,                0.38152,                 1.6778,                 1.4258,                 1.8798,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.67613,                0.52556,                 1.0795,                0.75998,                 0.6087,                 0.6834,                0.38327,                  1.701,                 1.4023,                 1.8902,               3.98e-05,               3.98e-05,               3.98e-05
